#    L    TT             EE             BB             TE          
   119    0.43128E+01    0.88940E-02    0.50153E-02   -0.15509E+00
   120    0.41229E+01    0.88454E-02    0.49510E-02   -0.15086E+00
   121    0.39388E+01    0.87939E-02    0.48858E-02   -0.14662E+00
   122    0.37604E+01    0.87395E-02    0.48197E-02   -0.14238E+00
   123    0.35878E+01    0.86823E-02    0.47528E-02   -0.13815E+00
   124    0.34208E+01    0.86223E-02    0.46852E-02   -0.13393E+00
   125    0.32594E+01    0.85597E-02    0.46170E-02   -0.12972E+00
   126    0.31035E+01    0.84943E-02    0.45482E-02   -0.12553E+00
   127    0.29532E+01    0.84264E-02    0.44789E-02   -0.12136E+00
   128    0.28083E+01    0.83558E-02    0.44092E-02   -0.11721E+00
   129    0.26687E+01    0.82827E-02    0.43392E-02   -0.11309E+00
   130    0.25345E+01    0.82072E-02    0.42689E-02   -0.10901E+00
   131    0.24056E+01    0.81292E-02    0.41984E-02   -0.10496E+00
   132    0.22818E+01    0.80488E-02    0.41278E-02   -0.10095E+00
   133    0.21631E+01    0.79662E-02    0.40572E-02   -0.96982E-01
   134    0.20494E+01    0.78815E-02    0.39865E-02   -0.93056E-01
   135    0.19406E+01    0.77947E-02    0.39159E-02   -0.89177E-01
   136    0.18365E+01    0.77060E-02    0.38454E-02   -0.85346E-01
   137    0.17370E+01    0.76155E-02    0.37750E-02   -0.81565E-01
   138    0.16421E+01    0.75233E-02    0.37048E-02   -0.77837E-01
   139    0.15517E+01    0.74294E-02    0.36349E-02   -0.74164E-01
   140    0.14656E+01    0.73340E-02    0.35653E-02   -0.70548E-01
   141    0.13838E+01    0.72372E-02    0.34961E-02   -0.66992E-01
   142    0.13061E+01    0.71391E-02    0.34273E-02   -0.63498E-01
   143    0.12325E+01    0.70398E-02    0.33590E-02   -0.60068E-01
   144    0.11628E+01    0.69394E-02    0.32912E-02   -0.56705E-01
   145    0.10969E+01    0.68379E-02    0.32241E-02   -0.53411E-01
   146    0.10348E+01    0.67356E-02    0.31575E-02   -0.50189E-01
   147    0.97631E+00    0.66325E-02    0.30917E-02   -0.47039E-01
   148    0.92134E+00    0.65287E-02    0.30266E-02   -0.43966E-01
   149    0.86980E+00    0.64243E-02    0.29624E-02   -0.40971E-01
   150    0.82159E+00    0.63194E-02    0.28990E-02   -0.38056E-01
   151    0.77659E+00    0.62141E-02    0.28365E-02   -0.35224E-01
   152    0.73473E+00    0.61085E-02    0.27750E-02   -0.32474E-01
   153    0.69589E+00    0.60026E-02    0.27144E-02   -0.29807E-01
