#    L    TT             EE             BB             TE          
   131    0.36578E+04    0.10429E+01    0.41984E-02   -0.40043E+02
   132    0.36916E+04    0.10464E+01    0.41278E-02   -0.40433E+02
   133    0.37252E+04    0.10496E+01    0.40572E-02   -0.40809E+02
   134    0.37588E+04    0.10523E+01    0.39865E-02   -0.41165E+02
   135    0.37925E+04    0.10545E+01    0.39159E-02   -0.41507E+02
   136    0.38259E+04    0.10562E+01    0.38454E-02   -0.41828E+02
   137    0.38594E+04    0.10574E+01    0.37750E-02   -0.42133E+02
   138    0.38928E+04    0.10582E+01    0.37048E-02   -0.42420E+02
   139    0.39259E+04    0.10586E+01    0.36349E-02   -0.42687E+02
   140    0.39592E+04    0.10584E+01    0.35653E-02   -0.42935E+02
   141    0.39922E+04    0.10578E+01    0.34961E-02   -0.43163E+02
   142    0.40251E+04    0.10566E+01    0.34273E-02   -0.43372E+02
   143    0.40581E+04    0.10551E+01    0.33590E-02   -0.43560E+02
   144    0.40908E+04    0.10531E+01    0.32912E-02   -0.43728E+02
   145    0.41233E+04    0.10507E+01    0.32241E-02   -0.43875E+02
   146    0.41559E+04    0.10478E+01    0.31575E-02   -0.44000E+02
   147    0.41882E+04    0.10444E+01    0.30917E-02   -0.44103E+02
   148    0.42203E+04    0.10406E+01    0.30266E-02   -0.44185E+02
   149    0.42523E+04    0.10364E+01    0.29624E-02   -0.44245E+02
   150    0.42841E+04    0.10318E+01    0.28990E-02   -0.44279E+02
   151    0.43157E+04    0.10268E+01    0.28365E-02   -0.44292E+02
   152    0.43470E+04    0.10213E+01    0.27750E-02   -0.44282E+02
   153    0.43782E+04    0.10155E+01    0.27144E-02   -0.44247E+02
   154    0.44092E+04    0.10093E+01    0.26548E-02   -0.44188E+02
   155    0.44399E+04    0.10027E+01    0.25962E-02   -0.44105E+02
   156    0.44703E+04    0.99579E+00    0.25386E-02   -0.43998E+02
   157    0.45006E+04    0.98853E+00    0.24820E-02   -0.43866E+02
   158    0.45306E+04    0.98100E+00    0.24265E-02   -0.43709E+02
   159    0.45603E+04    0.97304E+00    0.23721E-02   -0.43528E+02
   160    0.45898E+04    0.96480E+00    0.23187E-02   -0.43320E+02
   161    0.46191E+04    0.95636E+00    0.22665E-02   -0.43087E+02
   162    0.46481E+04    0.94756E+00    0.22154E-02   -0.42830E+02
   163    0.46769E+04    0.93849E+00    0.21654E-02   -0.42547E+02
   164    0.47053E+04    0.92922E+00    0.21166E-02   -0.42239E+02
   165    0.47335E+04    0.91966E+00    0.20689E-02   -0.41903E+02
   166    0.47614E+04    0.90997E+00    0.20225E-02   -0.41543E+02
   167    0.47891E+04    0.89993E+00    0.19772E-02   -0.41157E+02
   168    0.48164E+04    0.88991E+00    0.19332E-02   -0.40745E+02
   169    0.48433E+04    0.87961E+00    0.18904E-02   -0.40305E+02
   170    0.48699E+04    0.86925E+00    0.18489E-02   -0.39840E+02
   171    0.48961E+04    0.85884E+00    0.18087E-02   -0.39348E+02
   172    0.49219E+04    0.84829E+00    0.17698E-02   -0.38829E+02
   173    0.49472E+04    0.83761E+00    0.17323E-02   -0.38284E+02
   174    0.49723E+04    0.82709E+00    0.16960E-02   -0.37712E+02
   175    0.49969E+04    0.81644E+00    0.16611E-02   -0.37113E+02
   176    0.50210E+04    0.80588E+00    0.16276E-02   -0.36488E+02
   177    0.50448E+04    0.79534E+00    0.15954E-02   -0.35837E+02
   178    0.50681E+04    0.78503E+00    0.15646E-02   -0.35158E+02
   179    0.50909E+04    0.77467E+00    0.15351E-02   -0.34453E+02
   180    0.51134E+04    0.76446E+00    0.15068E-02   -0.33722E+02
   181    0.51354E+04    0.75441E+00    0.14799E-02   -0.32966E+02
   182    0.51569E+04    0.74460E+00    0.14541E-02   -0.32183E+02
   183    0.51779E+04    0.73495E+00    0.14296E-02   -0.31374E+02
   184    0.51985E+04    0.72553E+00    0.14062E-02   -0.30539E+02
   185    0.52187E+04    0.71649E+00    0.13840E-02   -0.29680E+02
   186    0.52381E+04    0.70768E+00    0.13629E-02   -0.28793E+02
   187    0.52573E+04    0.69926E+00    0.13430E-02   -0.27881E+02
   188    0.52760E+04    0.69120E+00    0.13242E-02   -0.26946E+02
   189    0.52940E+04    0.68354E+00    0.13064E-02   -0.25984E+02
   190    0.53120E+04    0.67633E+00    0.12896E-02   -0.25000E+02
   191    0.53290E+04    0.66959E+00    0.12739E-02   -0.23989E+02
   192    0.53457E+04    0.66335E+00    0.12592E-02   -0.22954E+02
   193    0.53618E+04    0.65764E+00    0.12455E-02   -0.21896E+02
   194    0.53775E+04    0.65250E+00    0.12327E-02   -0.20814E+02
   195    0.53926E+04    0.64797E+00    0.12208E-02   -0.19709E+02
   196    0.54071E+04    0.64407E+00    0.12098E-02   -0.18581E+02
   197    0.54212E+04    0.64086E+00    0.11997E-02   -0.17431E+02
   198    0.54348E+04    0.63835E+00    0.11905E-02   -0.16258E+02
   199    0.54478E+04    0.63658E+00    0.11821E-02   -0.15064E+02
   200    0.54603E+04    0.63558E+00    0.11745E-02   -0.13849E+02
   201    0.54723E+04    0.63541E+00    0.11677E-02   -0.12612E+02
   202    0.54837E+04    0.63608E+00    0.11616E-02   -0.11354E+02
   203    0.54946E+04    0.63764E+00    0.11563E-02   -0.10076E+02
   204    0.55048E+04    0.64011E+00    0.11517E-02   -0.87788E+01
   205    0.55145E+04    0.64355E+00    0.11477E-02   -0.74618E+01
   206    0.55235E+04    0.64798E+00    0.11445E-02   -0.61257E+01
   207    0.55320E+04    0.65342E+00    0.11419E-02   -0.47708E+01
   208    0.55397E+04    0.65993E+00    0.11398E-02   -0.33978E+01
   209    0.55469E+04    0.66753E+00    0.11384E-02   -0.20070E+01
   210    0.55535E+04    0.67627E+00    0.11376E-02   -0.59933E+00
   211    0.55595E+04    0.68618E+00    0.11373E-02    0.82527E+00
   212    0.55648E+04    0.69729E+00    0.11375E-02    0.22658E+01
   213    0.55695E+04    0.70964E+00    0.11382E-02    0.37224E+01
   214    0.55736E+04    0.72322E+00    0.11393E-02    0.51938E+01
   215    0.55771E+04    0.73822E+00    0.11409E-02    0.66792E+01
   216    0.55799E+04    0.75446E+00    0.11430E-02    0.81793E+01
   217    0.55822E+04    0.77210E+00    0.11454E-02    0.96920E+01
   218    0.55839E+04    0.79112E+00    0.11482E-02    0.11218E+02
   219    0.55849E+04    0.81154E+00    0.11513E-02    0.12757E+02
   220    0.55854E+04    0.83350E+00    0.11548E-02    0.14306E+02
   221    0.55853E+04    0.85692E+00    0.11586E-02    0.15866E+02
   222    0.55846E+04    0.88195E+00    0.11626E-02    0.17437E+02
   223    0.55831E+04    0.90852E+00    0.11669E-02    0.19018E+02
   224    0.55813E+04    0.93662E+00    0.11714E-02    0.20607E+02
   225    0.55787E+04    0.96641E+00    0.11762E-02    0.22206E+02
   226    0.55756E+04    0.99788E+00    0.11811E-02    0.23811E+02
   227    0.55718E+04    0.10310E+01    0.11861E-02    0.25425E+02
   228    0.55674E+04    0.10659E+01    0.11913E-02    0.27045E+02
   229    0.55625E+04    0.11024E+01    0.11966E-02    0.28669E+02
   230    0.55569E+04    0.11408E+01    0.12020E-02    0.30300E+02
   231    0.55507E+04    0.11809E+01    0.12074E-02    0.31936E+02
   232    0.55439E+04    0.12228E+01    0.12129E-02    0.33575E+02
   233    0.55366E+04    0.12667E+01    0.12184E-02    0.35217E+02
   234    0.55285E+04    0.13124E+01    0.12238E-02    0.36861E+02
   235    0.55198E+04    0.13600E+01    0.12292E-02    0.38507E+02
   236    0.55106E+04    0.14095E+01    0.12346E-02    0.40154E+02
   237    0.55007E+04    0.14610E+01    0.12399E-02    0.41801E+02
   238    0.54902E+04    0.15145E+01    0.12450E-02    0.43448E+02
   239    0.54792E+04    0.15699E+01    0.12500E-02    0.45094E+02
   240    0.54675E+04    0.16272E+01    0.12549E-02    0.46738E+02
   241    0.54553E+04    0.16867E+01    0.12596E-02    0.48378E+02
   242    0.54426E+04    0.17481E+01    0.12641E-02    0.50016E+02
   243    0.54292E+04    0.18117E+01    0.12683E-02    0.51650E+02
   244    0.54153E+04    0.18773E+01    0.12723E-02    0.53280E+02
   245    0.54007E+04    0.19450E+01    0.12760E-02    0.54903E+02
   246    0.53857E+04    0.20148E+01    0.12794E-02    0.56521E+02
   247    0.53701E+04    0.20866E+01    0.12824E-02    0.58132E+02
   248    0.53539E+04    0.21608E+01    0.12851E-02    0.59735E+02
   249    0.53373E+04    0.22370E+01    0.12875E-02    0.61330E+02
   250    0.53201E+04    0.23154E+01    0.12894E-02    0.62916E+02
   251    0.53024E+04    0.23959E+01    0.12909E-02    0.64492E+02
   252    0.52841E+04    0.24786E+01    0.12920E-02    0.66059E+02
   253    0.52654E+04    0.25634E+01    0.12927E-02    0.67614E+02
   254    0.52462E+04    0.26505E+01    0.12930E-02    0.69156E+02
   255    0.52265E+04    0.27396E+01    0.12929E-02    0.70688E+02
   256    0.52063E+04    0.28311E+01    0.12924E-02    0.72207E+02
   257    0.51856E+04    0.29246E+01    0.12915E-02    0.73707E+02
   258    0.51645E+04    0.30204E+01    0.12902E-02    0.75199E+02
   259    0.51429E+04    0.31184E+01    0.12886E-02    0.76669E+02
   260    0.51209E+04    0.32186E+01    0.12867E-02    0.78132E+02
   261    0.50984E+04    0.33209E+01    0.12844E-02    0.79566E+02
   262    0.50754E+04    0.34255E+01    0.12817E-02    0.80992E+02
   263    0.50523E+04    0.35323E+01    0.12788E-02    0.82404E+02
   264    0.50285E+04    0.36412E+01    0.12755E-02    0.83793E+02
   265    0.50042E+04    0.37522E+01    0.12719E-02    0.85153E+02
   266    0.49797E+04    0.38656E+01    0.12680E-02    0.86506E+02
   267    0.49546E+04    0.39809E+01    0.12638E-02    0.87830E+02
   268    0.49291E+04    0.40986E+01    0.12594E-02    0.89139E+02
   269    0.49031E+04    0.42183E+01    0.12546E-02    0.90426E+02
   270    0.48769E+04    0.43401E+01    0.12496E-02    0.91691E+02
   271    0.48503E+04    0.44640E+01    0.12443E-02    0.92934E+02
   272    0.48234E+04    0.45902E+01    0.12388E-02    0.94147E+02
   273    0.47961E+04    0.47181E+01    0.12330E-02    0.95346E+02
   274    0.47685E+04    0.48484E+01    0.12270E-02    0.96509E+02
   275    0.47405E+04    0.49805E+01    0.12208E-02    0.97657E+02
   276    0.47123E+04    0.51147E+01    0.12143E-02    0.98768E+02
   277    0.46837E+04    0.52509E+01    0.12077E-02    0.99864E+02
   278    0.46548E+04    0.53890E+01    0.12008E-02    0.10092E+03
   279    0.46257E+04    0.55291E+01    0.11937E-02    0.10195E+03
   280    0.45962E+04    0.56711E+01    0.11865E-02    0.10297E+03
   281    0.45666E+04    0.58150E+01    0.11790E-02    0.10395E+03
   282    0.45365E+04    0.59606E+01    0.11714E-02    0.10490E+03
   283    0.45063E+04    0.61081E+01    0.11637E-02    0.10582E+03
   284    0.44759E+04    0.62574E+01    0.11558E-02    0.10671E+03
   285    0.44453E+04    0.64086E+01    0.11477E-02    0.10758E+03
   286    0.44143E+04    0.65615E+01    0.11395E-02    0.10840E+03
   287    0.43832E+04    0.67160E+01    0.11312E-02    0.10921E+03
   288    0.43519E+04    0.68722E+01    0.11228E-02    0.10997E+03
   289    0.43203E+04    0.70300E+01    0.11142E-02    0.11071E+03
   290    0.42887E+04    0.71892E+01    0.11055E-02    0.11142E+03
   291    0.42568E+04    0.73507E+01    0.10968E-02    0.11208E+03
   292    0.42246E+04    0.75133E+01    0.10880E-02    0.11273E+03
   293    0.41924E+04    0.76765E+01    0.10790E-02    0.11333E+03
   294    0.41600E+04    0.78420E+01    0.10700E-02    0.11390E+03
   295    0.41277E+04    0.80082E+01    0.10610E-02    0.11444E+03
   296    0.40951E+04    0.81766E+01    0.10519E-02    0.11494E+03
   297    0.40624E+04    0.83450E+01    0.10427E-02    0.11542E+03
   298    0.40294E+04    0.85155E+01    0.10336E-02    0.11585E+03
   299    0.39965E+04    0.86876E+01    0.10243E-02    0.11624E+03
   300    0.39634E+04    0.88596E+01    0.10151E-02    0.11660E+03
   301    0.39303E+04    0.90331E+01    0.10059E-02    0.11693E+03
   302    0.38971E+04    0.92073E+01    0.99661E-03    0.11723E+03
   303    0.38639E+04    0.93830E+01    0.98736E-03    0.11749E+03
   304    0.38306E+04    0.95601E+01    0.97810E-03    0.11770E+03
   305    0.37973E+04    0.97372E+01    0.96886E-03    0.11788E+03
   306    0.37640E+04    0.99151E+01    0.95963E-03    0.11803E+03
   307    0.37306E+04    0.10094E+02    0.95041E-03    0.11813E+03
   308    0.36973E+04    0.10274E+02    0.94123E-03    0.11821E+03
   309    0.36640E+04    0.10455E+02    0.93207E-03    0.11824E+03
   310    0.36306E+04    0.10635E+02    0.92294E-03    0.11824E+03
   311    0.35973E+04    0.10817E+02    0.91385E-03    0.11820E+03
   312    0.35641E+04    0.10998E+02    0.90481E-03    0.11813E+03
   313    0.35309E+04    0.11181E+02    0.89582E-03    0.11801E+03
   314    0.34978E+04    0.11364E+02    0.88688E-03    0.11787E+03
   315    0.34647E+04    0.11546E+02    0.87801E-03    0.11768E+03
   316    0.34317E+04    0.11729E+02    0.86919E-03    0.11745E+03
   317    0.33988E+04    0.11911E+02    0.86045E-03    0.11719E+03
   318    0.33659E+04    0.12095E+02    0.85179E-03    0.11689E+03
   319    0.33332E+04    0.12278E+02    0.84320E-03    0.11655E+03
   320    0.33007E+04    0.12461E+02    0.83470E-03    0.11618E+03
   321    0.32682E+04    0.12645E+02    0.82629E-03    0.11577E+03
   322    0.32359E+04    0.12827E+02    0.81798E-03    0.11533E+03
   323    0.32037E+04    0.13009E+02    0.80977E-03    0.11484E+03
   324    0.31716E+04    0.13193E+02    0.80166E-03    0.11431E+03
   325    0.31398E+04    0.13373E+02    0.79367E-03    0.11377E+03
   326    0.31081E+04    0.13554E+02    0.78579E-03    0.11316E+03
   327    0.30765E+04    0.13735E+02    0.77804E-03    0.11253E+03
   328    0.30452E+04    0.13915E+02    0.77041E-03    0.11187E+03
   329    0.30141E+04    0.14094E+02    0.76291E-03    0.11117E+03
   330    0.29831E+04    0.14272E+02    0.75555E-03    0.11043E+03
   331    0.29525E+04    0.14449E+02    0.74834E-03    0.10966E+03
   332    0.29220E+04    0.14627E+02    0.74127E-03    0.10886E+03
   333    0.28917E+04    0.14803E+02    0.73435E-03    0.10802E+03
