#    L    TT             EE             TE          
   153    0.43775E+04    0.10095E+01   -0.44217E+02
   154    0.44085E+04    0.10034E+01   -0.44161E+02
   155    0.44393E+04    0.99691E+00   -0.44080E+02
   156    0.44697E+04    0.99011E+00   -0.43976E+02
   157    0.45000E+04    0.98296E+00   -0.43846E+02
   158    0.45301E+04    0.97553E+00   -0.43692E+02
   159    0.45598E+04    0.96767E+00   -0.43512E+02
   160    0.45893E+04    0.95954E+00   -0.43306E+02
   161    0.46186E+04    0.95120E+00   -0.43076E+02
   162    0.46476E+04    0.94251E+00   -0.42821E+02
   163    0.46765E+04    0.93355E+00   -0.42539E+02
   164    0.47048E+04    0.92437E+00   -0.42233E+02
   165    0.47331E+04    0.91492E+00   -0.41899E+02
   166    0.47610E+04    0.90534E+00   -0.41540E+02
   167    0.47887E+04    0.89540E+00   -0.41156E+02
   168    0.48159E+04    0.88548E+00   -0.40745E+02
   169    0.48429E+04    0.87528E+00   -0.40307E+02
   170    0.48695E+04    0.86502E+00   -0.39844E+02
   171    0.48957E+04    0.85470E+00   -0.39352E+02
   172    0.49215E+04    0.84425E+00   -0.38834E+02
   173    0.49468E+04    0.83366E+00   -0.38290E+02
   174    0.49719E+04    0.82324E+00   -0.37720E+02
   175    0.49965E+04    0.81269E+00   -0.37122E+02
   176    0.50206E+04    0.80222E+00   -0.36497E+02
   177    0.50444E+04    0.79177E+00   -0.35847E+02
   178    0.50676E+04    0.78155E+00   -0.35169E+02
   179    0.50904E+04    0.77127E+00   -0.34465E+02
   180    0.51129E+04    0.76115E+00   -0.33735E+02
   181    0.51349E+04    0.75118E+00   -0.32979E+02
   182    0.51564E+04    0.74145E+00   -0.32196E+02
   183    0.51774E+04    0.73188E+00   -0.31387E+02
   184    0.51981E+04    0.72254E+00   -0.30552E+02
   185    0.52182E+04    0.71358E+00   -0.29694E+02
   186    0.52376E+04    0.70485E+00   -0.28807E+02
   187    0.52568E+04    0.69650E+00   -0.27896E+02
   188    0.52754E+04    0.68851E+00   -0.26960E+02
   189    0.52935E+04    0.68092E+00   -0.25999E+02
   190    0.53114E+04    0.67378E+00   -0.25014E+02
   191    0.53285E+04    0.66711E+00   -0.24003E+02
   192    0.53451E+04    0.66093E+00   -0.22968E+02
   193    0.53612E+04    0.65529E+00   -0.21910E+02
   194    0.53769E+04    0.65021E+00   -0.20828E+02
   195    0.53920E+04    0.64573E+00   -0.19723E+02
   196    0.54065E+04    0.64189E+00   -0.18595E+02
   197    0.54206E+04    0.63873E+00   -0.17444E+02
   198    0.54341E+04    0.63627E+00   -0.16272E+02
   199    0.54472E+04    0.63455E+00   -0.15077E+02
   200    0.54597E+04    0.63360E+00   -0.13861E+02
   201    0.54716E+04    0.63347E+00   -0.12624E+02
   202    0.54831E+04    0.63418E+00   -0.11366E+02
   203    0.54939E+04    0.63578E+00   -0.10087E+02
   204    0.55041E+04    0.63829E+00   -0.87898E+01
   205    0.55138E+04    0.64176E+00   -0.74724E+01
   206    0.55228E+04    0.64622E+00   -0.61358E+01
   207    0.55313E+04    0.65170E+00   -0.47805E+01
   208    0.55390E+04    0.65824E+00   -0.34070E+01
   209    0.55462E+04    0.66587E+00   -0.20157E+01
   210    0.55528E+04    0.67463E+00   -0.60750E+00
   211    0.55588E+04    0.68457E+00    0.81762E+00
   212    0.55641E+04    0.69569E+00    0.22587E+01
   213    0.55688E+04    0.70806E+00    0.37158E+01
   214    0.55729E+04    0.72166E+00    0.51877E+01
   215    0.55764E+04    0.73668E+00    0.66738E+01
   216    0.55792E+04    0.75293E+00    0.81744E+01
   217    0.55815E+04    0.77058E+00    0.96877E+01
   218    0.55832E+04    0.78962E+00    0.11214E+02
   219    0.55842E+04    0.81005E+00    0.12754E+02
   220    0.55847E+04    0.83201E+00    0.14303E+02
   221    0.55846E+04    0.85544E+00    0.15864E+02
   222    0.55839E+04    0.88048E+00    0.17435E+02
   223    0.55824E+04    0.90705E+00    0.19017E+02
   224    0.55806E+04    0.93515E+00    0.20607E+02
   225    0.55780E+04    0.96494E+00    0.22206E+02
   226    0.55749E+04    0.99640E+00    0.23812E+02
   227    0.55711E+04    0.10296E+01    0.25426E+02
   228    0.55667E+04    0.10644E+01    0.27047E+02
   229    0.55618E+04    0.11010E+01    0.28672E+02
   230    0.55562E+04    0.11393E+01    0.30303E+02
   231    0.55500E+04    0.11794E+01    0.31940E+02
   232    0.55432E+04    0.12213E+01    0.33580E+02
   233    0.55359E+04    0.12652E+01    0.35222E+02
   234    0.55278E+04    0.13109E+01    0.36866E+02
   235    0.55192E+04    0.13585E+01    0.38513E+02
   236    0.55099E+04    0.14080E+01    0.40160E+02
   237    0.55000E+04    0.14594E+01    0.41808E+02
   238    0.54896E+04    0.15129E+01    0.43455E+02
   239    0.54786E+04    0.15683E+01    0.45102E+02
   240    0.54669E+04    0.16257E+01    0.46746E+02
   241    0.54547E+04    0.16851E+01    0.48387E+02
   242    0.54420E+04    0.17465E+01    0.50025E+02
   243    0.54286E+04    0.18101E+01    0.51659E+02
   244    0.54147E+04    0.18756E+01    0.53290E+02
   245    0.54001E+04    0.19433E+01    0.54913E+02
   246    0.53851E+04    0.20131E+01    0.56531E+02
   247    0.53695E+04    0.20849E+01    0.58142E+02
   248    0.53533E+04    0.21592E+01    0.59746E+02
   249    0.53367E+04    0.22353E+01    0.61341E+02
   250    0.53195E+04    0.23137E+01    0.62927E+02
   251    0.53018E+04    0.23942E+01    0.64504E+02
   252    0.52835E+04    0.24769E+01    0.66071E+02
   253    0.52649E+04    0.25616E+01    0.67626E+02
   254    0.52457E+04    0.26487E+01    0.69169E+02
   255    0.52260E+04    0.27378E+01    0.70700E+02
   256    0.52058E+04    0.28293E+01    0.72219E+02
   257    0.51852E+04    0.29228E+01    0.73719E+02
   258    0.51640E+04    0.30186E+01    0.75211E+02
   259    0.51424E+04    0.31166E+01    0.76682E+02
   260    0.51205E+04    0.32167E+01    0.78144E+02
   261    0.50980E+04    0.33190E+01    0.79578E+02
   262    0.50750E+04    0.34236E+01    0.81004E+02
   263    0.50518E+04    0.35303E+01    0.82416E+02
   264    0.50281E+04    0.36392E+01    0.83805E+02
   265    0.50038E+04    0.37502E+01    0.85165E+02
   266    0.49793E+04    0.38636E+01    0.86518E+02
   267    0.49542E+04    0.39789E+01    0.87841E+02
   268    0.49287E+04    0.40966E+01    0.89150E+02
   269    0.49028E+04    0.42163E+01    0.90437E+02
   270    0.48766E+04    0.43381E+01    0.91702E+02
   271    0.48499E+04    0.44619E+01    0.92944E+02
   272    0.48231E+04    0.45881E+01    0.94158E+02
   273    0.47958E+04    0.47160E+01    0.95357E+02
   274    0.47682E+04    0.48463E+01    0.96519E+02
   275    0.47402E+04    0.49784E+01    0.97666E+02
   276    0.47120E+04    0.51126E+01    0.98777E+02
   277    0.46834E+04    0.52487E+01    0.99873E+02
   278    0.46545E+04    0.53869E+01    0.10093E+03
   279    0.46254E+04    0.55270E+01    0.10196E+03
   280    0.45959E+04    0.56689E+01    0.10298E+03
   281    0.45663E+04    0.58128E+01    0.10396E+03
   282    0.45363E+04    0.59584E+01    0.10491E+03
   283    0.45061E+04    0.61059E+01    0.10583E+03
   284    0.44757E+04    0.62553E+01    0.10672E+03
   285    0.44450E+04    0.64064E+01    0.10758E+03
   286    0.44141E+04    0.65593E+01    0.10841E+03
   287    0.43829E+04    0.67138E+01    0.10921E+03
   288    0.43516E+04    0.68700E+01    0.10998E+03
   289    0.43201E+04    0.70278E+01    0.11072E+03
   290    0.42884E+04    0.71871E+01    0.11142E+03
   291    0.42566E+04    0.73485E+01    0.11209E+03
   292    0.42244E+04    0.75111E+01    0.11273E+03
   293    0.41923E+04    0.76743E+01    0.11333E+03
   294    0.41598E+04    0.78398E+01    0.11391E+03
   295    0.41275E+04    0.80060E+01    0.11444E+03
   296    0.40949E+04    0.81744E+01    0.11495E+03
   297    0.40622E+04    0.83428E+01    0.11542E+03
   298    0.40293E+04    0.85134E+01    0.11585E+03
   299    0.39963E+04    0.86854E+01    0.11625E+03
   300    0.39633E+04    0.88574E+01    0.11660E+03
   301    0.39301E+04    0.90309E+01    0.11693E+03
   302    0.38970E+04    0.92051E+01    0.11723E+03
   303    0.38638E+04    0.93808E+01    0.11749E+03
   304    0.38305E+04    0.95580E+01    0.11770E+03
   305    0.37972E+04    0.97351E+01    0.11788E+03
   306    0.37639E+04    0.99130E+01    0.11803E+03
   307    0.37305E+04    0.10092E+02    0.11813E+03
   308    0.36971E+04    0.10272E+02    0.11821E+03
   309    0.36638E+04    0.10452E+02    0.11824E+03
   310    0.36305E+04    0.10633E+02    0.11824E+03
   311    0.35972E+04    0.10815E+02    0.11820E+03
   312    0.35640E+04    0.10996E+02    0.11813E+03
   313    0.35308E+04    0.11179E+02    0.11801E+03
   314    0.34976E+04    0.11362E+02    0.11786E+03
   315    0.34646E+04    0.11544E+02    0.11767E+03
   316    0.34316E+04    0.11727E+02    0.11745E+03
   317    0.33987E+04    0.11909E+02    0.11718E+03
   318    0.33658E+04    0.12093E+02    0.11688E+03
   319    0.33331E+04    0.12276E+02    0.11655E+03
   320    0.33006E+04    0.12459E+02    0.11618E+03
   321    0.32681E+04    0.12643E+02    0.11577E+03
   322    0.32358E+04    0.12825E+02    0.11532E+03
   323    0.32036E+04    0.13008E+02    0.11484E+03
   324    0.31715E+04    0.13191E+02    0.11431E+03
   325    0.31397E+04    0.13371E+02    0.11376E+03
   326    0.31079E+04    0.13553E+02    0.11316E+03
   327    0.30764E+04    0.13733E+02    0.11253E+03
   328    0.30451E+04    0.13913E+02    0.11187E+03
   329    0.30139E+04    0.14092E+02    0.11116E+03
   330    0.29830E+04    0.14270E+02    0.11042E+03
   331    0.29523E+04    0.14448E+02    0.10965E+03
   332    0.29218E+04    0.14625E+02    0.10885E+03
   333    0.28915E+04    0.14801E+02    0.10802E+03
   334    0.28615E+04    0.14976E+02    0.10714E+03
   335    0.28317E+04    0.15149E+02    0.10623E+03
   336    0.28021E+04    0.15321E+02    0.10529E+03
   337    0.27728E+04    0.15493E+02    0.10431E+03
   338    0.27438E+04    0.15662E+02    0.10330E+03
   339    0.27151E+04    0.15832E+02    0.10226E+03
   340    0.26866E+04    0.15999E+02    0.10119E+03
   341    0.26584E+04    0.16164E+02    0.10009E+03
   342    0.26305E+04    0.16329E+02    0.98947E+02
   343    0.26029E+04    0.16491E+02    0.97778E+02
   344    0.25756E+04    0.16652E+02    0.96581E+02
   345    0.25486E+04    0.16810E+02    0.95353E+02
   346    0.25220E+04    0.16968E+02    0.94104E+02
   347    0.24956E+04    0.17123E+02    0.92817E+02
   348    0.24696E+04    0.17276E+02    0.91501E+02
   349    0.24439E+04    0.17427E+02    0.90156E+02
   350    0.24185E+04    0.17575E+02    0.88788E+02
   351    0.23937E+04    0.17722E+02    0.87391E+02
   352    0.23690E+04    0.17867E+02    0.85964E+02
   353    0.23448E+04    0.18009E+02    0.84522E+02
   354    0.23208E+04    0.18149E+02    0.83043E+02
   355    0.22973E+04    0.18286E+02    0.81542E+02
   356    0.22741E+04    0.18421E+02    0.80026E+02
   357    0.22513E+04    0.18554E+02    0.78481E+02
   358    0.22290E+04    0.18683E+02    0.76921E+02
   359    0.22069E+04    0.18809E+02    0.75331E+02
   360    0.21853E+04    0.18934E+02    0.73722E+02
   361    0.21640E+04    0.19055E+02    0.72091E+02
   362    0.21432E+04    0.19174E+02    0.70439E+02
   363    0.21227E+04    0.19290E+02    0.68769E+02
   364    0.21027E+04    0.19402E+02    0.67078E+02
   365    0.20831E+04    0.19512E+02    0.65371E+02
   366    0.20639E+04    0.19619E+02    0.63646E+02
   367    0.20451E+04    0.19722E+02    0.61904E+02
   368    0.20266E+04    0.19822E+02    0.60147E+02
   369    0.20087E+04    0.19920E+02    0.58373E+02
   370    0.19912E+04    0.20014E+02    0.56587E+02
   371    0.19740E+04    0.20104E+02    0.54786E+02
   372    0.19573E+04    0.20191E+02    0.52973E+02
   373    0.19410E+04    0.20275E+02    0.51145E+02
   374    0.19252E+04    0.20356E+02    0.49307E+02
   375    0.19097E+04    0.20433E+02    0.47459E+02
   376    0.18948E+04    0.20507E+02    0.45600E+02
   377    0.18802E+04    0.20577E+02    0.43733E+02
   378    0.18661E+04    0.20643E+02    0.41856E+02
   379    0.18524E+04    0.20706E+02    0.39972E+02
   380    0.18392E+04    0.20767E+02    0.38080E+02
   381    0.18264E+04    0.20820E+02    0.36183E+02
   382    0.18139E+04    0.20873E+02    0.34281E+02
   383    0.18020E+04    0.20921E+02    0.32372E+02
   384    0.17906E+04    0.20964E+02    0.30461E+02
   385    0.17794E+04    0.21006E+02    0.28546E+02
   386    0.17688E+04    0.21043E+02    0.26630E+02
   387    0.17586E+04    0.21076E+02    0.24711E+02
   388    0.17488E+04    0.21105E+02    0.22792E+02
   389    0.17394E+04    0.21128E+02    0.20873E+02
   390    0.17305E+04    0.21150E+02    0.18955E+02
   391    0.17220E+04    0.21168E+02    0.17038E+02
   392    0.17139E+04    0.21183E+02    0.15124E+02
   393    0.17063E+04    0.21193E+02    0.13213E+02
   394    0.16991E+04    0.21200E+02    0.11306E+02
   395    0.16923E+04    0.21202E+02    0.94032E+01
   396    0.16859E+04    0.21200E+02    0.75068E+01
