#    L    TT             EE             BB             TE          
   166    0.42375E-02    0.46370E-04    0.20225E-04   -0.25002E-04
   167    0.41740E-02    0.45353E-04    0.19772E-04   -0.95741E-05
   168    0.41265E-02    0.44343E-04    0.19332E-04    0.50700E-05
   169    0.40942E-02    0.43343E-04    0.18904E-04    0.18933E-04
   170    0.40761E-02    0.42352E-04    0.18489E-04    0.32017E-04
   171    0.40713E-02    0.41372E-04    0.18087E-04    0.44326E-04
   172    0.40787E-02    0.40403E-04    0.17698E-04    0.55862E-04
   173    0.40975E-02    0.39445E-04    0.17323E-04    0.66626E-04
   174    0.41266E-02    0.38500E-04    0.16960E-04    0.76623E-04
   175    0.41653E-02    0.37569E-04    0.16611E-04    0.85854E-04
   176    0.42125E-02    0.36651E-04    0.16276E-04    0.94326E-04
   177    0.42676E-02    0.35747E-04    0.15954E-04    0.10206E-03
   178    0.43301E-02    0.34859E-04    0.15646E-04    0.10907E-03
   179    0.43995E-02    0.33985E-04    0.15351E-04    0.11538E-03
   180    0.44751E-02    0.33127E-04    0.15068E-04    0.12102E-03
   181    0.45565E-02    0.32285E-04    0.14799E-04    0.12600E-03
   182    0.46431E-02    0.31459E-04    0.14541E-04    0.13036E-03
   183    0.47342E-02    0.30650E-04    0.14296E-04    0.13410E-03
   184    0.48294E-02    0.29857E-04    0.14062E-04    0.13725E-03
   185    0.49281E-02    0.29083E-04    0.13840E-04    0.13983E-03
   186    0.50298E-02    0.28326E-04    0.13629E-04    0.14187E-03
   187    0.51338E-02    0.27587E-04    0.13430E-04    0.14339E-03
   188    0.52397E-02    0.26867E-04    0.13242E-04    0.14440E-03
   189    0.53469E-02    0.26167E-04    0.13064E-04    0.14493E-03
   190    0.54548E-02    0.25485E-04    0.12896E-04    0.14501E-03
   191    0.55628E-02    0.24823E-04    0.12739E-04    0.14465E-03
   192    0.56705E-02    0.24182E-04    0.12592E-04    0.14387E-03
   193    0.57772E-02    0.23561E-04    0.12455E-04    0.14270E-03
   194    0.58825E-02    0.22961E-04    0.12327E-04    0.14115E-03
   195    0.59856E-02    0.22383E-04    0.12208E-04    0.13926E-03
   196    0.60862E-02    0.21826E-04    0.12098E-04    0.13704E-03
   197    0.61836E-02    0.21292E-04    0.11997E-04    0.13451E-03
   198    0.62773E-02    0.20780E-04    0.11905E-04    0.13170E-03
   199    0.63668E-02    0.20291E-04    0.11821E-04    0.12863E-03
   200    0.64514E-02    0.19825E-04    0.11745E-04    0.12531E-03
